# in; out; diff; current
0;0;0;0
0.0977517;0.0782014;0.0195503;7.82014e-05
0.195503;0.171065;0.0244379;0.000171065
0.293255;0.26393;0.0293255;0.00026393
0.391007;0.351906;0.0391007;0.000351906
0.488759;0.44477;0.0439883;0.00044477
0.58651;0.537634;0.0488759;0.000537634
0.684262;0.630499;0.0537634;0.000630499
0.782014;0.723363;0.058651;0.000723363
0.879765;0.816227;0.0635386;0.000816227
0.977517;0.909091;0.0684262;0.000909091
1.07527;1.00196;0.0733138;0.00100196
1.17302;1.08993;0.083089;0.00108993
1.27077;1.1828;0.0879765;0.0011828
1.36852;1.27566;0.0928641;0.00127566
1.46628;1.36852;0.0977517;0.00136852
1.56403;1.46139;0.102639;0.00146139
1.66178;1.55425;0.107527;0.00155425
1.75953;1.64712;0.112414;0.00164712
1.85728;1.73509;0.12219;0.00173509
1.95503;1.82796;0.127077;0.00182796
2.05279;1.92082;0.131965;0.00192082
2.15054;2.01369;0.136852;0.00201369
2.24829;2.10655;0.14174;0.00210655
2.34604;2.19941;0.146628;0.00219941
2.44379;2.29228;0.151515;0.00229228
2.54154;2.38514;0.156403;0.00238514
2.6393;2.47801;0.16129;0.00247801
2.73705;2.57087;0.166178;0.00257087
2.8348;2.66373;0.171065;0.00266373
2.93255;2.7566;0.175953;0.0027566
3.0303;2.84946;0.180841;0.00284946
3.12805;2.94233;0.185728;0.00294233
3.22581;3.03519;0.190616;0.00303519
3.32356;3.12805;0.195503;0.00312805
3.42131;3.22092;0.200391;0.00322092
3.51906;3.31378;0.205279;0.00331378
3.61681;3.40665;0.210166;0.00340665
3.71457;3.49462;0.219941;0.00349462
3.81232;3.58749;0.224829;0.00358749
3.91007;3.68035;0.229717;0.00368035
4.00782;3.77322;0.234604;0.00377322
4.10557;3.86119;0.244379;0.00386119
4.20332;3.95406;0.249267;0.00395406
4.30108;4.04692;0.254154;0.00404692
4.39883;4.13978;0.259042;0.00413978
4.49658;4.22776;0.268817;0.00422776
4.59433;4.32063;0.273705;0.00432063
4.69208;4.41349;0.278592;0.00441349
4.78983;4.50635;0.28348;0.00450635
4.88759;4.59922;0.288368;0.00459922
4.98534;4.69208;0.293255;0.00469208
