# in; out; diff; current
0;0;0;0
0.0977517;0.0342131;0.0635386;3.42131e-05
0.195503;0.0782014;0.117302;7.82014e-05
0.293255;0.127077;0.166178;0.000127077
0.391007;0.175953;0.215054;0.000175953
0.488759;0.219941;0.268817;0.000219941
0.58651;0.26393;0.322581;0.00026393
0.684262;0.312805;0.371457;0.000312805
0.782014;0.356794;0.42522;0.000356794
0.879765;0.40567;0.474096;0.00040567
0.977517;0.449658;0.527859;0.000449658
1.07527;0.498534;0.576735;0.000498534
1.17302;0.542522;0.630499;0.000542522
1.27077;0.591398;0.679374;0.000591398
1.36852;0.635386;0.733138;0.000635386
1.46628;0.684262;0.782014;0.000684262
1.56403;0.72825;0.835777;0.00072825
1.66178;0.777126;0.884653;0.000777126
1.75953;0.826002;0.933529;0.000826002
1.85728;0.86999;0.987292;0.00086999
1.95503;0.918866;1.03617;0.000918866
2.05279;0.962854;1.08993;0.000962854
2.15054;1.01173;1.13881;0.00101173
2.24829;1.05572;1.19257;0.00105572
2.34604;1.10459;1.24145;0.00110459
2.44379;1.14858;1.29521;0.00114858
2.54154;1.19746;1.34409;0.00119746
2.6393;1.24145;1.39785;0.00124145
2.73705;1.29032;1.44673;0.00129032
2.8348;1.33431;1.50049;0.00133431
2.93255;1.38319;1.54936;0.00138319
3.0303;1.42717;1.60313;0.00142717
3.12805;1.47605;1.652;0.00147605
3.22581;1.52004;1.70577;0.00152004
3.32356;1.56891;1.75464;0.00156891
3.42131;1.6129;1.80841;0.0016129
3.51906;1.66178;1.85728;0.00166178
3.61681;1.70577;1.91105;0.00170577
3.71457;1.75464;1.95992;0.00175464
3.81232;1.79863;2.01369;0.00179863
3.91007;1.84751;2.06256;0.00184751
4.00782;1.8915;2.11632;0.0018915
4.10557;1.94037;2.1652;0.00194037
4.20332;1.98436;2.21896;0.00198436
4.30108;2.03324;2.26784;0.00203324
4.39883;2.08211;2.31672;0.00208211
4.49658;2.1261;2.37048;0.0021261
4.59433;2.17498;2.41935;0.00217498
4.69208;2.21896;2.47312;0.00221896
4.78983;2.26784;2.52199;0.00226784
4.88759;2.31672;2.57087;0.00231672
4.98534;2.3607;2.62463;0.0023607
