# in0; in1; out0; out1; out2; out3; currentDrain
0;2.2;0;0;1.99413;2.19453;0
0.5;2.2;0.483871;0.42522;1.99413;2.19453;0.000104734
1;2.2;0.982405;0.899316;1.99413;2.19453;0.000148373
1.5;2.2;1.48583;1.37341;1.99413;2.19453;0.00020074
2;2.2;1.98925;1.85239;1.99413;2.19453;0.000244379
2.5;2.2;2.49267;2.32649;1.99413;2.19453;0.000296746
3;2.2;2.9912;2.80059;1.99413;2.19453;0.000340385
3.5;2.2;3.49951;3.28446;1.99413;2.19453;0.000384025
4;2.2;3.99316;3.75367;1.99413;2.19453;0.000427664
4.5;2.2;4.49169;4.22776;1.99902;2.19453;0.000471303
5;2.2;4.99511;4.70186;1.99413;2.19453;0.00052367
