# in0; in1; out0; out1; out2; out3; currentDrain
0;2.7;0;0;2.45357;2.69795;0
0.5;2.7;0.483871;0.00488759;2.45357;2.69795;0.000855327
1;2.7;0.982405;0.0195503;2.45357;2.69795;0.00171938
1.5;2.7;1.48094;0.0391007;2.45357;2.69795;0.00257471
2;2.7;1.98925;0.0635386;2.45357;2.69795;0.00343877
2.5;2.7;2.49267;0.0977517;2.45357;2.69795;0.00427664
3;2.7;2.9912;0.156403;2.45357;2.69795;0.00506214
3.5;2.7;3.49462;0.356794;2.45357;2.69795;0.00560327
4;2.7;3.99316;0.816227;2.45357;2.69795;0.00567309
4.5;2.7;4.49169;1.28055;2.45357;2.69795;0.00573419
5;2.7;4.99022;1.74976;2.45357;2.69795;0.00578655
