# in0; in1; out0; out1; out2; out3; currentDrain
0;5;0;0;4.55523;5;0
0.5;5;0.483871;0;4.55523;5;0.000864055
1;5;0.987292;0;4.55523;5;0.00176302
1.5;5;1.48583;0;4.55523;5;0.00265326
2;5;1.98925;0.00488759;4.55523;5;0.0035435
2.5;5;2.49267;0.00977517;4.55523;5;0.00443374
3;5;2.9912;0.00977517;4.55523;5;0.00532398
3.5;5;3.49462;0.0146628;4.55523;5;0.00621422
4;5;3.99316;0.0195503;4.55034;5;0.00709573
4.5;5;4.49169;0.0244379;4.55523;5;0.00797724
5;5;4.99022;0.0293255;4.55523;5;0.00885875
