# in0; in1; out0; out1; out2; out3; currentDrain
0;1;0;0;0.899316;0.987292;0
0.5;1;0.483871;0.459433;0.894428;0.987292;4.36392e-05
1;1;0.982405;0.928641;0.899316;0.987292;9.60061e-05
1.5;1;1.48583;1.40274;0.899316;0.987292;0.000148373
2;1;1.98925;1.88172;0.899316;0.987292;0.000192012
2.5;1;2.49267;2.3607;0.899316;0.987292;0.000235651
3;1;2.9912;2.8348;0.899316;0.987292;0.000279291
3.5;1;3.49951;3.31378;0.899316;0.987292;0.000331658
4;1;3.99316;3.78788;0.899316;0.987292;0.000366569
4.5;1;4.49169;4.25709;0.899316;0.987292;0.000418936
5;1;4.99511;4.73607;0.899316;0.987292;0.000462575
