# in0; in1; out0; out1; out2; out3; currentDrain
0;2;0;0;1.80841;1.99413;0
0.5;2;0.483871;0.454545;1.81329;1.99413;5.2367e-05
1;2;0.982405;0.928641;1.80841;1.99413;9.60061e-05
1.5;2;1.48583;1.40274;1.81329;1.99413;0.000148373
2;2;1.98925;1.88172;1.80841;1.99413;0.000192012
2.5;2;2.49267;2.35582;1.81329;1.99413;0.000244379
3;2;2.9912;2.82991;1.81329;1.99413;0.000288018
3.5;2;3.49951;3.31378;1.81329;1.99413;0.000331658
4;2;3.99804;3.78299;1.81329;1.99413;0.000384025
4.5;2;4.49169;4.25709;1.81329;1.99413;0.000418936
5;2;4.99511;4.73118;1.81329;1.99413;0.000471303
