# in0; in1; out0; out1; out2; out3; currentDrain
0;4;0;0;3.64125;4.00293;0
0.5;4;0.483871;0;3.64614;4.00293;0.000864055
1;4;0.982405;0;3.64125;4.00293;0.00175429
1.5;4;1.48583;0;3.64125;4.00293;0.00265326
2;4;1.98925;0.00488759;3.64125;4.00293;0.0035435
2.5;4;2.49267;0.00977517;3.64125;4.00293;0.00443374
3;4;2.9912;0.0146628;3.64614;4.00293;0.00531525
3.5;4;3.49951;0.0195503;3.64125;4.00293;0.00621422
4;4;3.99316;0.0244379;3.64125;4.00293;0.007087
4.5;4;4.49169;0.0293255;3.64125;4.00293;0.00796851
5;4;4.99511;0.0342131;3.64125;4.00293;0.00885875
