# in0; in1; out0; out1; out2; out3; currentDrain
0;0;0;0;0;0;0
0.5;0;0.483871;0.454545;0;0;5.2367e-05
1;0;0.982405;0.928641;0;0;9.60061e-05
1.5;0;1.48583;1.40274;0;0;0.000148373
2;0;1.98925;1.88172;0;0;0.000192012
2.5;0;2.49267;2.3607;0;0;0.000235651
3;0;2.9912;2.8348;0;0;0.000279291
3.5;0;3.49951;3.31378;0;0;0.000331658
4;0;3.99316;3.78788;0;0;0.000366569
4.5;0;4.49169;4.25709;0;0;0.000418936
5;0;4.99511;4.73607;0;0;0.000462575
